event_id,event_parent,title,event_title,event_abstract,type,date,start_time,end_time,location,track,description,speakers,chair,keywords,virtual_link,recording
paper-1,,Research Paper,Mapping the Network: GIS Analysis of Lookout Sightlines,"This paper presents a comprehensive GIS analysis of fire lookout sightlines across the Northern Rockies region, examining how the historic network of lookouts created an interconnected system of visual surveillance.",paper,2026-06-15,14:00,14:30,Room 101,Digital Methods,"This paper presents a comprehensive GIS analysis of fire lookout sightlines across the Northern Rockies region, examining how the historic network of lookouts created an interconnected system of visual surveillance.",anderson-emily,,GIS;spatial analysis;visibility,https://zoom.us/j/234567,
paper-2,,Research Paper,Voices from the Tower: An Oral History Project,"Presentation of findings from a two-year oral history project documenting the experiences of lookout operators in Idaho's Clearwater National Forest.",paper,2026-06-15,14:00,14:30,Room 102,Community,"Presentation of findings from a two-year oral history project documenting the experiences of lookout operators in Idaho's Clearwater National Forest.",nguyen-michael,,oral history;Clearwater;memory,https://zoom.us/j/345678,
paper-3,,Research Paper,Climate Change and Historic Preservation,"Examining the challenges of preserving historic fire lookout structures in an era of increasing wildfire risk and changing climate patterns.",paper,2026-06-15,14:30,15:00,Room 101,Digital Methods,"Examining the challenges of preserving historic fire lookout structures in an era of increasing wildfire risk and changing climate patterns.",patel-priya,,climate change;preservation;risk assessment,https://zoom.us/j/234567,
paper-4,,Research Paper,Building Community Through Restoration,"A case study of community-led restoration efforts at the Coolwater Lookout, demonstrating models for volunteer engagement and partnerships.",paper,2026-06-15,14:30,15:00,Room 102,Community,"A case study of community-led restoration efforts at the Coolwater Lookout, demonstrating models for volunteer engagement and partnerships.",thompson-james,,restoration;volunteering;partnerships,https://zoom.us/j/345678,
break-2,,Afternoon Break,,,break,2026-06-15,15:00,15:30,Atrium,,Refreshments provided.,,,,,
workshop-1,,Hands-on Photogrammetry Workshop,,,workshop,2026-06-15,15:30,17:30,Computer Lab,Digital Methods,"A practical workshop introducing participants to photogrammetry techniques for documenting historic structures. Participants should bring laptops with Meshroom installed.",wilson-mary,,photogrammetry;workshop;hands-on,,
poster,,Poster Session & Reception,,,poster,2026-06-15,17:30,19:00,Gallery,,"View poster presentations while enjoying appetizers and refreshments. Cash bar available.",,,poster session;networking,,
keynote-2,,Dinner Keynote,A Life in the Lookouts,"A keynote address sharing four decades of experiences staffing fire lookouts across Montana and Idaho, exploring themes of solitude, observation, and wilderness stewardship.",keynote,2026-06-15,19:00,20:30,Banquet Hall,,"Join us for dinner and a keynote address from a 40-year veteran of the Forest Service who spent summers staffing lookouts across Montana and Idaho.",williams-sarah,,personal narrative;Forest Service;history,,
day2-reg,,Day 2 Registration,,,break,2026-06-16,08:00,09:00,Main Lobby,,Coffee available.,,,,,
panel-a2,,Architectural Heritage of Fire Lookouts,,,panel,2026-06-16,09:00,10:30,Room 101,Architecture,"Examining the architectural significance and typologies of fire lookout structures, from the early crow's nest designs to the standardized L-4 and R-6 models.",,patel-priya,architecture;typology;design history,https://zoom.us/j/456789,
panel-a2-pres1,panel-a2,Architectural Heritage of Fire Lookouts,Lookout Typologies Across the American West,"Examining the evolution of fire lookout architectural typologies from early crow's nest platforms to standardized L-4 and R-6 designs across different Forest Service regions.",presentation,2026-06-16,09:00,09:30,Room 101,Architecture,,lee-kevin,,architecture;typology;evolution,https://zoom.us/j/456789,
panel-a2-pres2,panel-a2,Architectural Heritage of Fire Lookouts,Preserving R-6 Flat Lookouts,"Documentation and preservation challenges specific to the R-6 flat-style lookout towers common in the Pacific Northwest region, including structural assessment and treatment planning.",presentation,2026-06-16,09:30,10:00,Room 101,Architecture,,moore-jennifer,,R-6;preservation;Pacific Northwest,https://zoom.us/j/456789,
panel-a2-pres3,panel-a2,Architectural Heritage of Fire Lookouts,Timber Engineering in Historic Lookouts,"Analysis of historic timber construction techniques used in fire lookout towers and implications for modern stabilization and restoration efforts.",presentation,2026-06-16,10:00,10:30,Room 101,Architecture,,adams-christopher,,timber;engineering;construction,https://zoom.us/j/456789,
panel-b2,,Fire Lookouts in Literature and Art,,,panel,2026-06-16,09:00,10:30,Room 102,Humanities,"Exploring representations of fire lookouts in literature, poetry, and visual art, from Jack Kerouac to contemporary artists.",,brown-david,literature;art;representation,https://zoom.us/j/567890,
panel-b2-pres1,panel-b2,Fire Lookouts in Literature and Art,Cultural Meanings of Fire in the American West,"Exploring the cultural and symbolic meanings of fire and fire management in American literature, film, and visual culture.",presentation,2026-06-16,09:00,09:30,Room 102,Humanities,,garcia-maria,,culture;fire;representation,https://zoom.us/j/567890,
panel-b2-pres2,panel-b2,Fire Lookouts in Literature and Art,The Poetics of Solitude: Lookout Literature,"An analysis of how fire lookout experiences have shaped American nature writing, focusing on themes of solitude, observation, and wilderness in works by Gary Snyder, Philip Connors, and others.",presentation,2026-06-16,09:30,10:00,Room 102,Humanities,,clark-stephanie,,literature;nature writing;solitude,https://zoom.us/j/567890,
break-3,,Morning Break,,,break,2026-06-16,10:30,11:00,Atrium,,Refreshments provided.,,,,,
closing,,Closing Remarks & Future Directions,,,keynote,2026-06-17,11:30,12:00,Main Auditorium,,"Synthesis of conference themes and discussion of future research directions and collaborative opportunities.",smith-jane;martinez-carlos,,,https://zoom.us/j/123456,
